物質ID,出典,CAS RN,日本語名,英語名,窒素等価係数,酸素等量係数,pH,最大濃度,最小濃度,酸 (pH≦2),塩基 (pH≧11.5),無機塩類,アルデヒド類,フェノール類,界面活性剤、その他の成分,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：気体）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉じん、ミスト）,皮膚腐食性及び皮膚刺激性,眼に対する重篤な損傷性又は眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,生殖毒性・授乳影響,特定標的臓器毒性（単回ばく露）,特定標的臓器毒性（単回ばく露）区分（1）,特定標的臓器毒性（単回ばく露）臓器種（1）,特定標的臓器毒性（単回ばく露）暴露経路（1）,特定標的臓器毒性（単回ばく露）区分（2）,特定標的臓器毒性（単回ばく露）臓器種（2）,特定標的臓器毒性（単回ばく露）暴露経路（2）,特定標的臓器毒性（単回ばく露）区分（3）,特定標的臓器毒性（単回ばく露）臓器種（3）,特定標的臓器毒性（単回ばく露）暴露経路（3）,特定標的臓器毒性（単回ばく露）区分（4）,特定標的臓器毒性（単回ばく露）臓器種（4）,特定標的臓器毒性（単回ばく露）暴露経路（4）,特定標的臓器毒性（単回ばく露）区分（5）,特定標的臓器毒性（単回ばく露）臓器種（5）,特定標的臓器毒性（単回ばく露）暴露経路（5）,特定標的臓器毒性（単回ばく露）区分（6）,特定標的臓器毒性（単回ばく露）臓器種（6）,特定標的臓器毒性（単回ばく露）暴露経路（6）,特定標的臓器毒性（単回ばく露）区分（7）,特定標的臓器毒性（単回ばく露）臓器種（7）,特定標的臓器毒性（単回ばく露）暴露経路（7）,特定標的臓器毒性（単回ばく露）区分（8）,特定標的臓器毒性（単回ばく露）臓器種（8）,特定標的臓器毒性（単回ばく露）暴露経路（8）,特定標的臓器毒性（単回ばく露）区分（9）,特定標的臓器毒性（単回ばく露）臓器種（9）,特定標的臓器毒性（単回ばく露）暴露経路（9）,特定標的臓器毒性（単回ばく露）区分（10）,特定標的臓器毒性（単回ばく露）臓器種（10）,特定標的臓器毒性（単回ばく露）暴露経路（10）,特定標的臓器毒性（反復ばく露）,特定標的臓器毒性（反復ばく露）区分(1),特定標的臓器毒性（反復ばく露）臓器種(1),特定標的臓器毒性（反復ばく露）暴露経路(1),特定標的臓器毒性（反復ばく露）区分(2),特定標的臓器毒性（反復ばく露）臓器種(2),特定標的臓器毒性（反復ばく露）暴露経路(2),特定標的臓器毒性（反復ばく露）区分(3),特定標的臓器毒性（反復ばく露）臓器種(3),特定標的臓器毒性（反復ばく露）暴露経路(3),特定標的臓器毒性（反復ばく露）区分(4),特定標的臓器毒性（反復ばく露）臓器種(4),特定標的臓器毒性（反復ばく露）暴露経路(4),特定標的臓器毒性（反復ばく露）区分(5),特定標的臓器毒性（反復ばく露）臓器種(5),特定標的臓器毒性（反復ばく露）暴露経路(5),特定標的臓器毒性（反復ばく露）区分(6),特定標的臓器毒性（反復ばく露）臓器種(6),特定標的臓器毒性（反復ばく露）暴露経路(6),特定標的臓器毒性（反復ばく露）区分(7),特定標的臓器毒性（反復ばく露）臓器種(7),特定標的臓器毒性（反復ばく露）暴露経路(7),特定標的臓器毒性（反復ばく露）区分(8),特定標的臓器毒性（反復ばく露）臓器種(8),特定標的臓器毒性（反復ばく露）暴露経路(8),特定標的臓器毒性（反復ばく露）区分(9),特定標的臓器毒性（反復ばく露）臓器種(9),特定標的臓器毒性（反復ばく露）暴露経路(9),特定標的臓器毒性（反復ばく露）区分(10),特定標的臓器毒性（反復ばく露）臓器種(10),特定標的臓器毒性（反復ばく露）暴露経路(10),誤えん有害性,水生環境有害性　短期　（急性）,水生環境有害性　長期　（慢性）,オゾン層への有害性,急性毒性（経口）急性毒性推定値（ATE）mg/kg,急性毒性（経皮）急性毒性推定値（ATE）mg/kg,急性毒性（吸入：気体）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）mg/L,急性毒性（吸入：粉じん、ミスト）急性毒性推定値（ATE）mg/l,LC50(魚類),EC50(甲殻類),EC50(藻類),毒性乗率　水生環境有害性　短期　（急性）,NOEC(魚類),NOEC(甲殻類),NOEC(藻類),急速分解性有無,毒性乗率　水生環境有害性　長期　（慢性）,GHS分類結果情報参照URL（日）,GHS分類結果情報参照URL（英）,ratio
m-nite-100-00-5,NITE,100-00-5,パラ-ニトロクロロベンゼン,p-Nitrochlorobenzene,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,タイプG,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分4,区分3,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない,区分に該当しない,分類できない,分類できない,区分2,区分1B,区分1B,,区分あり,区分1,血液系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,420,750,,,,16.1,,2.14,,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-100-00-5.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-01-6,NITE,100-01-6,p-ニトロアニリン,p-Nitroaniline,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,分類できない,分類できない,区分に該当しない,区分に該当しない,分類できない,区分2,,区分あり,区分1,血液,,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分2,分類できない,1049,,,,,,,22,,,,,0.94,無,,https://www.nite.go.jp/chem/ghs/m-nite-100-01-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-02-7,NITE,100-02-7,p-ニトロフェノール,p-Nnitrophenol,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分3,区分4,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分1,分類できない,区分に該当しない,区分に該当しない,分類できない,分類できない,,区分あり,区分1,血液系,,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,血液系,,区分2,全身毒性,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,202,1024,,,,,2.2,,,,0.643,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-100-02-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-14-1,NITE,100-14-1,1-（クロロメチル）-4-ニトロベンゼン,1-(Chloromethyl)-4-nitrobenzene,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,1809,,,,,,,,0.038,10,,,,無,10,https://www.nite.go.jp/chem/ghs/m-nite-100-14-1.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-16-3,NITE,100-16-3,4-ニトロフェニルヒドラジン,4-Nitrophenylhydrazine,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-100-16-3.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-17-4,NITE,100-17-4,パラ‐メトキシニトロベンゼン（別名：パラ－ニトロアニソール）,p-Methoxynitrobenzene  (synonym: p-Nitroanisole),,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,タイプG,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分に該当しない,分類できない,分類できない,分類できない,区分1B,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分に該当しない,,2600,16000,,,,,,13.5,,,,3.2,3.9,無,,https://www.nite.go.jp/chem/ghs/m-nite-100-17-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-18-5,NITE,100-18-5,1_4-ジイソプロピルベンゼン,1_4-Diisopropylbenzene,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,5000,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-100-18-5.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-20-9,NITE,100-20-9,テレフタル酸クロライド,Terephthaloyl dichloride,,,0.5,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分2,全身毒性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,分類できない,2500,,,,,,,,,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-100-20-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-100-21-0,NITE,100-21-0,テレフタル酸,Terephthalic Acid,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分2B,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,,6400,2500,,,,,,,,,,,,有,,https://www.nite.go.jp/chem/ghs/m-nite-100-21-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-10022-31-8,NITE,10022-31-8,硝酸バリウム,Barium nitrate,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,区分2,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分2A,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,神経系,,区分1,心血管系,,区分1,筋肉系,,区分1,腎臓,,区分1,消化管,,区分3,気道刺激性,,,,,,,,,,,,,,区分あり,区分1,心血管系,,区分1,神経系,,区分1,筋肉系,,区分1,腎臓,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,分類できない,355,,,,,,,9018,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-10022-31-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
